"","toa","thr","diffnet_new$toa"
"115539046","Non-Adopters","Non-Adopters",NA
"115542028","Non-Adopters","Non-Adopters",NA
"115542030","Non-Adopters","Non-Adopters",NA
"115544615","Non-Adopters","Non-Adopters",NA
"115559435","Non-Adopters","Non-Adopters",NA
"115563412","Non-Adopters","Non-Adopters",NA
"115585059","Non-Adopters","Non-Adopters",NA
"115587844","Non-Adopters","Non-Adopters",NA
"115614560","Non-Adopters","Non-Adopters",NA
"115614564","Non-Adopters","Non-Adopters",NA
"115614604","Non-Adopters","Non-Adopters",NA
"115614891","Non-Adopters","Non-Adopters",NA
"115711127","Non-Adopters","Non-Adopters",NA
"115711237","Non-Adopters","Non-Adopters",NA
"115723813","Non-Adopters","Non-Adopters",NA
"115733982","Non-Adopters","Non-Adopters",NA
"115746571","Non-Adopters","Non-Adopters",NA
"115749113","Non-Adopters","Non-Adopters",NA
"115764870","Non-Adopters","Non-Adopters",NA
"115776825","Non-Adopters","Non-Adopters",NA
"115777652","Non-Adopters","Non-Adopters",NA
"115786084","Non-Adopters","Non-Adopters",NA
"115791260","Non-Adopters","Non-Adopters",NA
"115791951","Non-Adopters","Non-Adopters",NA
"115792013","Laggards","Low Thresh.",2017
"115805287","Non-Adopters","Non-Adopters",NA
"115807499","Non-Adopters","Non-Adopters",NA
"115811201","Non-Adopters","Non-Adopters",NA
"115839318","Non-Adopters","Non-Adopters",NA
"115839391","Laggards","High Thresh.",2017
"115847076","Non-Adopters","Non-Adopters",NA
"115862001","Non-Adopters","Non-Adopters",NA
"115866600","Non-Adopters","Non-Adopters",NA
"115876312","Laggards","High Thresh.",2017
"115878967","Non-Adopters","Non-Adopters",NA
"115879017","Non-Adopters","Non-Adopters",NA
"115887994","Non-Adopters","Non-Adopters",NA
"115888374","Late Majority","High Thresh.",2015
"115896551","Laggards","High Thresh.",2016
"115897151","Non-Adopters","Non-Adopters",NA
"115897375","Laggards","High Thresh.",2017
"115902551","Non-Adopters","Non-Adopters",NA
"115902646","Non-Adopters","Non-Adopters",NA
"115905424","Laggards","High Thresh.",2016
"115905812","Non-Adopters","Non-Adopters",NA
"115922344","Non-Adopters","Non-Adopters",NA
"115927112","Non-Adopters","Non-Adopters",NA
"115931967","Non-Adopters","Non-Adopters",NA
"115947361","Non-Adopters","Non-Adopters",NA
"115951886","Non-Adopters","Non-Adopters",NA
"115962631","Non-Adopters","Non-Adopters",NA
"115964980","Non-Adopters","Non-Adopters",NA
"115967485","Non-Adopters","Non-Adopters",NA
"116006475","Non-Adopters","Non-Adopters",NA
"116006719","Laggards","High Thresh.",2016
"116020432","Non-Adopters","Non-Adopters",NA
"116020706","Non-Adopters","Non-Adopters",NA
"116024900","Non-Adopters","Non-Adopters",NA
"116046108","Non-Adopters","Non-Adopters",NA
"116056181","Non-Adopters","Non-Adopters",NA
"116056223","Non-Adopters","Non-Adopters",NA
"116056656","Non-Adopters","Non-Adopters",NA
"116069575","Non-Adopters","Non-Adopters",NA
"116086402","Non-Adopters","Non-Adopters",NA
"116086946","Non-Adopters","Non-Adopters",NA
"116110808","Non-Adopters","Non-Adopters",NA
"116115172","Non-Adopters","Non-Adopters",NA
"116119024","Non-Adopters","Non-Adopters",NA
"116124714","Laggards","High Thresh.",2017
"116138666","Non-Adopters","Non-Adopters",NA
"116160166","Non-Adopters","Non-Adopters",NA
"116170430","Non-Adopters","Non-Adopters",NA
"116185837","Non-Adopters","Non-Adopters",NA
"116186484","Non-Adopters","Non-Adopters",NA
"116207074","Laggards","High Thresh.",2017
"116218588","Non-Adopters","Non-Adopters",NA
"116240729","Non-Adopters","Non-Adopters",NA
"116250663","Non-Adopters","Non-Adopters",NA
"116250990","Non-Adopters","Non-Adopters",NA
"116267465","Non-Adopters","Non-Adopters",NA
"116271436","Non-Adopters","Non-Adopters",NA
"116271680","Non-Adopters","Non-Adopters",NA
"116271870","Non-Adopters","Non-Adopters",NA
"116272276","Non-Adopters","Non-Adopters",NA
"116280556","Non-Adopters","Non-Adopters",NA
"116301381","Non-Adopters","Non-Adopters",NA
"116306975","Non-Adopters","Non-Adopters",NA
"116308252","Non-Adopters","Non-Adopters",NA
"116311982","Non-Adopters","Non-Adopters",NA
"116324756","Non-Adopters","Non-Adopters",NA
"116325173","Non-Adopters","Non-Adopters",NA
"116328005","Non-Adopters","Non-Adopters",NA
"116339566","Non-Adopters","Non-Adopters",NA
"116339581","Non-Adopters","Non-Adopters",NA
"116339619","Non-Adopters","Non-Adopters",NA
"116339945","Non-Adopters","Non-Adopters",NA
"116344618","Non-Adopters","Non-Adopters",NA
"116344727","Non-Adopters","Non-Adopters",NA
"116350411","Non-Adopters","Non-Adopters",NA
"116350483","Non-Adopters","Non-Adopters",NA
"116370294","Non-Adopters","Non-Adopters",NA
"116370978","Non-Adopters","Non-Adopters",NA
"116393608","Non-Adopters","Non-Adopters",NA
"116399353","Non-Adopters","Non-Adopters",NA
"116399615","Non-Adopters","Non-Adopters",NA
"116423282","Non-Adopters","Non-Adopters",NA
"116423789","Non-Adopters","Non-Adopters",NA
"116424107","Non-Adopters","Non-Adopters",NA
"116451953","Non-Adopters","Non-Adopters",NA
"116452118","Non-Adopters","Non-Adopters",NA
"116456877","Non-Adopters","Non-Adopters",NA
"116461538","Non-Adopters","Non-Adopters",NA
"116463889","Non-Adopters","Non-Adopters",NA
"116464301","Non-Adopters","Non-Adopters",NA
"116471742","Non-Adopters","Non-Adopters",NA
"116474248","Non-Adopters","Non-Adopters",NA
"116476498","Non-Adopters","Non-Adopters",NA
"116476527","Non-Adopters","Non-Adopters",NA
"116513478","Non-Adopters","Non-Adopters",NA
"116513974","Non-Adopters","Non-Adopters",NA
"116517680","Non-Adopters","Non-Adopters",NA
"116532367","Non-Adopters","Non-Adopters",NA
"116535922","Laggards","Low Thresh.",2016
"116536043","Non-Adopters","Non-Adopters",NA
"116537928","Non-Adopters","Non-Adopters",NA
"116570374","Non-Adopters","Non-Adopters",NA
"116581425","Non-Adopters","Non-Adopters",NA
"116586729","Non-Adopters","Non-Adopters",NA
"116596405","Non-Adopters","Non-Adopters",NA
"116606876","Non-Adopters","Non-Adopters",NA
"116612251","Non-Adopters","Non-Adopters",NA
"116614313","Laggards","High Thresh.",2017
"116657203","Laggards","High Thresh.",2017
"116658114","Non-Adopters","Non-Adopters",NA
"116661046","Non-Adopters","Non-Adopters",NA
"116667340","Non-Adopters","Non-Adopters",NA
"116676725","Laggards","High Thresh.",2017
"116681341","Non-Adopters","Non-Adopters",NA
"116697193","Non-Adopters","Non-Adopters",NA
"116697247","Non-Adopters","Non-Adopters",NA
"116697981","Non-Adopters","Non-Adopters",NA
"116701049","Non-Adopters","Non-Adopters",NA
"116723845","Non-Adopters","Non-Adopters",NA
"116728208","Non-Adopters","Non-Adopters",NA
"116733217","Non-Adopters","Non-Adopters",NA
"116739061","Non-Adopters","Non-Adopters",NA
"116755696","Non-Adopters","Non-Adopters",NA
"116758867","Non-Adopters","Non-Adopters",NA
"116758994","Non-Adopters","Non-Adopters",NA
"116759000","Non-Adopters","Non-Adopters",NA
"116759853","Non-Adopters","Non-Adopters",NA
"116762968","Non-Adopters","Non-Adopters",NA
"116795149","Non-Adopters","Non-Adopters",NA
"116804134","Non-Adopters","Non-Adopters",NA
"116804158","Laggards","High Thresh.",2017
"116834474","Non-Adopters","Non-Adopters",NA
"116874506","Non-Adopters","Non-Adopters",NA
"116878403","Laggards","High Thresh.",2017
"116878922","Non-Adopters","Non-Adopters",NA
"116887623","Laggards","High Thresh.",2017
"116887705","Non-Adopters","Non-Adopters",NA
"116887712","Laggards","Low Thresh.",2017
"116888035","Non-Adopters","Non-Adopters",NA
"116952163","Non-Adopters","Non-Adopters",NA
"116980152","Non-Adopters","Non-Adopters",NA
"117005000","Non-Adopters","Non-Adopters",NA
"117013747","Non-Adopters","Non-Adopters",NA
"117017025","Non-Adopters","Non-Adopters",NA
"117020624","Non-Adopters","Non-Adopters",NA
"117026011","Non-Adopters","Non-Adopters",NA
"117055967","Laggards","High Thresh.",2017
"117075438","Non-Adopters","Non-Adopters",NA
"117136533","Non-Adopters","Non-Adopters",NA
"117187385","Non-Adopters","Non-Adopters",NA
"117189849","Non-Adopters","Non-Adopters",NA
"117190805","Non-Adopters","Non-Adopters",NA
"117255399","Non-Adopters","Non-Adopters",NA
"117256073","Non-Adopters","Non-Adopters",NA
"117278221","Non-Adopters","Non-Adopters",NA
"117284065","Non-Adopters","Non-Adopters",NA
"117304615","Non-Adopters","Non-Adopters",NA
"117310323","Non-Adopters","Non-Adopters",NA
"117320714","Non-Adopters","Non-Adopters",NA
"117327873","Non-Adopters","Non-Adopters",NA
"117356148","Non-Adopters","Non-Adopters",NA
"117357047","Non-Adopters","Non-Adopters",NA
"117380444","Non-Adopters","Non-Adopters",NA
"117397203","Non-Adopters","Non-Adopters",NA
"117440390","Non-Adopters","Non-Adopters",NA
"117444121","Non-Adopters","Non-Adopters",NA
"117451851","Non-Adopters","Non-Adopters",NA
"117451869","Non-Adopters","Non-Adopters",NA
"117453750","Non-Adopters","Non-Adopters",NA
"117468213","Non-Adopters","Non-Adopters",NA
"117468405","Non-Adopters","Non-Adopters",NA
"117473846","Non-Adopters","Non-Adopters",NA
"117496256","Laggards","High Thresh.",2017
"117500150","Non-Adopters","Non-Adopters",NA
"117501727","Non-Adopters","Non-Adopters",NA
"117551418","Non-Adopters","Non-Adopters",NA
"117551501","Non-Adopters","Non-Adopters",NA
"117559050","Non-Adopters","Non-Adopters",NA
"117569055","Non-Adopters","Non-Adopters",NA
"117623958","Non-Adopters","Non-Adopters",NA
"117624840","Non-Adopters","Non-Adopters",NA
"117628804","Non-Adopters","Non-Adopters",NA
"117637087","Non-Adopters","Non-Adopters",NA
"117646041","Laggards","High Thresh.",2017
"117688384","Non-Adopters","Non-Adopters",NA
"117688806","Laggards","Low Thresh.",2016
"117693341","Non-Adopters","Non-Adopters",NA
"117693697","Non-Adopters","Non-Adopters",NA
"117698777","Non-Adopters","Non-Adopters",NA
"117704908","Non-Adopters","Non-Adopters",NA
"117705819","Non-Adopters","Non-Adopters",NA
"117724043","Non-Adopters","Non-Adopters",NA
"117724047","Laggards","High Thresh.",2016
"117724273","Non-Adopters","Non-Adopters",NA
"117732079","Non-Adopters","Non-Adopters",NA
"117737886","Non-Adopters","Non-Adopters",NA
"117737919","Non-Adopters","Non-Adopters",NA
"117738411","Non-Adopters","Non-Adopters",NA
"117738606","Non-Adopters","Non-Adopters",NA
"117743057","Non-Adopters","Non-Adopters",NA
"117744089","Non-Adopters","Non-Adopters",NA
"117744660","Non-Adopters","Non-Adopters",NA
"117789017","Non-Adopters","Non-Adopters",NA
"117807249","Non-Adopters","Non-Adopters",NA
"117819368","Non-Adopters","Non-Adopters",NA
"117819792","Non-Adopters","Non-Adopters",NA
"117819958","Non-Adopters","Non-Adopters",NA
"117821693","Non-Adopters","Non-Adopters",NA
"117848777","Non-Adopters","Non-Adopters",NA
"117848984","Non-Adopters","Non-Adopters",NA
"117856407","Non-Adopters","Non-Adopters",NA
"117868129","Non-Adopters","Non-Adopters",NA
"117868169","Non-Adopters","Non-Adopters",NA
"117868829","Non-Adopters","Non-Adopters",NA
"117873201","Non-Adopters","Non-Adopters",NA
"117873234","Non-Adopters","Non-Adopters",NA
"117873351","Non-Adopters","Non-Adopters",NA
"117891351","Non-Adopters","Non-Adopters",NA
"117939180","Non-Adopters","Non-Adopters",NA
"117948029","Non-Adopters","Non-Adopters",NA
"117954645","Non-Adopters","Non-Adopters",NA
"117968829","Non-Adopters","Non-Adopters",NA
"117974548","Non-Adopters","Non-Adopters",NA
"117974643","Non-Adopters","Non-Adopters",NA
"117980498","Non-Adopters","Non-Adopters",NA
"117980521","Non-Adopters","Non-Adopters",NA
"117987752","Non-Adopters","Non-Adopters",NA
"117987904","Non-Adopters","Non-Adopters",NA
"117996266","Non-Adopters","Non-Adopters",NA
"118006994","Non-Adopters","Non-Adopters",NA
"118011248","Non-Adopters","Non-Adopters",NA
"118039145","Non-Adopters","Non-Adopters",NA
"118050346","Non-Adopters","Non-Adopters",NA
"118059743","Non-Adopters","Non-Adopters",NA
"118063171","Non-Adopters","Non-Adopters",NA
"118065836","Non-Adopters","Non-Adopters",NA
"118072072","Non-Adopters","Non-Adopters",NA
"118072561","Non-Adopters","Non-Adopters",NA
"118089185","Non-Adopters","Non-Adopters",NA
"118089244","Non-Adopters","Non-Adopters",NA
"118101120","Non-Adopters","Non-Adopters",NA
"118110080","Non-Adopters","Non-Adopters",NA
"118112777","Laggards","High Thresh.",2017
"118142527","Non-Adopters","Non-Adopters",NA
"118150363","Non-Adopters","Non-Adopters",NA
"118162888","Non-Adopters","Non-Adopters",NA
"118163044","Non-Adopters","Non-Adopters",NA
"118163415","Non-Adopters","Non-Adopters",NA
"118204673","Non-Adopters","Non-Adopters",NA
"118204781","Non-Adopters","Non-Adopters",NA
"118206352","Non-Adopters","Non-Adopters",NA
"118206450","Non-Adopters","Non-Adopters",NA
"118211888","Non-Adopters","Non-Adopters",NA
"118230784","Non-Adopters","Non-Adopters",NA
"118242383","Non-Adopters","Non-Adopters",NA
"118242416","Non-Adopters","Non-Adopters",NA
"118248152","Non-Adopters","Non-Adopters",NA
"118258430","Non-Adopters","Non-Adopters",NA
"118261165","Non-Adopters","Non-Adopters",NA
"118269282","Non-Adopters","Non-Adopters",NA
"118307735","Non-Adopters","Non-Adopters",NA
"118312232","Non-Adopters","Non-Adopters",NA
"118325883","Non-Adopters","Non-Adopters",NA
"118326808","Non-Adopters","Non-Adopters",NA
"118331158","Non-Adopters","Non-Adopters",NA
"118331221","Non-Adopters","Non-Adopters",NA
"118331298","Non-Adopters","Non-Adopters",NA
"118334561","Non-Adopters","Non-Adopters",NA
"118346004","Laggards","High Thresh.",2017
"118347348","Non-Adopters","Non-Adopters",NA
"118350356","Non-Adopters","Non-Adopters",NA
"118358666","Non-Adopters","Non-Adopters",NA
"118359160","Non-Adopters","Non-Adopters",NA
"118359351","Non-Adopters","Non-Adopters",NA
"118362583","Non-Adopters","Non-Adopters",NA
"118395899","Non-Adopters","Non-Adopters",NA
"118418285","Non-Adopters","Non-Adopters",NA
"118421885","Non-Adopters","Non-Adopters",NA
"118423650","Non-Adopters","Non-Adopters",NA
"118425040","Non-Adopters","Non-Adopters",NA
"118430977","Non-Adopters","Non-Adopters",NA
"118436056","Non-Adopters","Non-Adopters",NA
"118436658","Non-Adopters","Non-Adopters",NA
"118449154","Non-Adopters","Non-Adopters",NA
"118468880","Non-Adopters","Non-Adopters",NA
"118475402","Non-Adopters","Non-Adopters",NA
"118475800","Non-Adopters","Non-Adopters",NA
"118488793","Non-Adopters","Non-Adopters",NA
"118489306","Non-Adopters","Non-Adopters",NA
"118490391","Non-Adopters","Non-Adopters",NA
"118495246","Non-Adopters","Non-Adopters",NA
"118495872","Non-Adopters","Non-Adopters",NA
"118495992","Non-Adopters","Non-Adopters",NA
"118503210","Non-Adopters","Non-Adopters",NA
"118505134","Non-Adopters","Non-Adopters",NA
"118507720","Non-Adopters","Non-Adopters",NA
"118552112","Non-Adopters","Non-Adopters",NA
"118575380","Non-Adopters","Non-Adopters",NA
"118579308","Non-Adopters","Non-Adopters",NA
"118579908","Non-Adopters","Non-Adopters",NA
"118586538","Non-Adopters","Non-Adopters",NA
"118586704","Non-Adopters","Non-Adopters",NA
"118601340","Non-Adopters","Non-Adopters",NA
"118605324","Non-Adopters","Non-Adopters",NA
"118606524","Non-Adopters","Non-Adopters",NA
"118610044","Non-Adopters","Non-Adopters",NA
"118610057","Non-Adopters","Non-Adopters",NA
"118612143","Non-Adopters","Non-Adopters",NA
"118612698","Non-Adopters","Non-Adopters",NA
"118617791","Non-Adopters","Non-Adopters",NA
"118631643","Non-Adopters","Non-Adopters",NA
"118647970","Non-Adopters","Non-Adopters",NA
"118673891","Non-Adopters","Non-Adopters",NA
"118674814","Non-Adopters","Non-Adopters",NA
"118682325","Non-Adopters","Non-Adopters",NA
"118687382","Non-Adopters","Non-Adopters",NA
"118691904","Non-Adopters","Non-Adopters",NA
"118727503","Non-Adopters","Non-Adopters",NA
"118727561","Non-Adopters","Non-Adopters",NA
"118730979","Non-Adopters","Non-Adopters",NA
"118781700","Non-Adopters","Non-Adopters",NA
"118782161","Non-Adopters","Non-Adopters",NA
"118807079","Non-Adopters","Non-Adopters",NA
"118807372","Non-Adopters","Non-Adopters",NA
"118807610","Non-Adopters","Non-Adopters",NA
"118852035","Non-Adopters","Non-Adopters",NA
"118878385","Non-Adopters","Non-Adopters",NA
"118892942","Non-Adopters","Non-Adopters",NA
"118903753","Non-Adopters","Non-Adopters",NA
"118903786","Non-Adopters","Non-Adopters",NA
"118904490","Non-Adopters","Non-Adopters",NA
"118932641","Non-Adopters","Non-Adopters",NA
"118990147","Non-Adopters","Non-Adopters",NA
"119002875","Non-Adopters","Non-Adopters",NA
"119005614","Non-Adopters","Non-Adopters",NA
"119011755","Non-Adopters","Non-Adopters",NA
"119023085","Non-Adopters","Non-Adopters",NA
"119026922","Non-Adopters","Non-Adopters",NA
"119027238","Non-Adopters","Non-Adopters",NA
"119032717","Non-Adopters","Non-Adopters",NA
"119033424","Non-Adopters","Non-Adopters",NA
"119038513","Non-Adopters","Non-Adopters",NA
"119056987","Non-Adopters","Non-Adopters",NA
"119057015","Non-Adopters","Non-Adopters",NA
"119071178","Non-Adopters","Non-Adopters",NA
"119071731","Non-Adopters","Non-Adopters",NA
"119084220","Non-Adopters","Non-Adopters",NA
"119092683","Non-Adopters","Non-Adopters",NA
"119110725","Non-Adopters","Non-Adopters",NA
"119123612","Non-Adopters","Non-Adopters",NA
"119147507","Non-Adopters","Non-Adopters",NA
"119156266","Non-Adopters","Non-Adopters",NA
"119176897","Non-Adopters","Non-Adopters",NA
"119182451","Non-Adopters","Non-Adopters",NA
"119193579","Non-Adopters","Non-Adopters",NA
"119199504","Non-Adopters","Non-Adopters",NA
"119199571","Non-Adopters","Non-Adopters",NA
"119199577","Non-Adopters","Non-Adopters",NA
"119200410","Non-Adopters","Non-Adopters",NA
"119200555","Non-Adopters","Non-Adopters",NA
"119218684","Non-Adopters","Non-Adopters",NA
